product_name,original_url,currency,brand_name,quantity_measurement,product_image,price_per_unit,price,is_available,old_price,discount,product_hash,product_id,discount_start,discount_end,category
Flora Smrznuta visnja 450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-vocje/Vishnja/Smrznuta-visnja-450g/p/7451851,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/products/hc6/h17/9172844904478.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,822.2 rsd/Kg,36999,True,,False,1e6e5580febdb8851b163647cc9e549a,7451851,,,Smrznuti proizvodi
Frikom Boranija zuta 700g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Boranija/Boranija-zuta-700g/p/7624150,RSD,,700 gr,https://static.maxi.rs/medias/sys_master/h73/h3f/9005565902878.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,425.7 rsd/Kg,29799,True,,False,86166e280e255ccc65186e06f1a3af6a,7624150,,,Smrznuti proizvodi
Maxi Smrznuti mini kroasani Maxi 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-testa-i-pica/Slana-testa/Smrznuti-mini-kroasani-Maxi-1kg/p/7624191,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/products/h42/h6e/9187301359646.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,282.99 rsd/Kg,28299,True,,False,fd89b03bd64b903ef1d98776d2ba67d0,7624191,,,Smrznuti proizvodi
Maxi Smrz.rolnice sa sirom Maxi 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-testa-i-pica/Slana-testa/Smrz-rolnice-sa-sirom-Maxi-1kg/p/7202385,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/h65/h7b/8968586231838.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,293.99 rsd/Kg,29399,True,,False,4a19c282b25d46480c6129be98d3f68f,7202385,,,Smrznuti proizvodi
Frikom Smrz.zlatna mesavina Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrz-zlatna-mesavina-Frikom-400g/p/7641076,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h60/h00/9005560004638.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,594.98 rsd/Kg,23799,True,,False,4897b4be178ba07407c197f2da8c6abc,7641076,,,Smrznuti proizvodi
Frikom Mesano povrce za belu corbu Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Mesano-povrce-za-belu-corbu-Frikom-400g/p/7641085,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/ha6/h28/9005546897438.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,549.98 rsd/Kg,21999,True,,False,22f250f34b7a4f8dae68fcf90f72c9c0,7641085,,,Smrznuti proizvodi
Frikom Smrznuti djuvec Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuti-djuvec-Frikom-400g/p/7641101,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h61/hd3/9005549518878.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,549.98 rsd/Kg,21999,True,,False,d09d67f688bfbe7ea6169680d947b9f5,7641101,,,Smrznuti proizvodi
Maxi Smrznuta boranija zuta Maxi 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Boranija/Smrznuta-boranija-zuta-Maxi-1kg/p/7349814,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/products/hf0/hfb/9173460418590.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,241.99 rsd/Kg,24199,True,,False,670472e91a35dbf92374c7e6298964da,7349814,,,Smrznuti proizvodi
Maxi Smrznuti kolutovi sargarepe Maxi 450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Shargarepa/Smrznuti-kolutovi-sargarepe-Maxi-450g/p/7351452,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/hf1/h88/8842771136542.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,244.42 rsd/Kg,10999,True,,False,64f18d039093d20bceed4684656080cc,7351452,,,Smrznuti proizvodi
Maxi Smr.rib.pljes.Premia/Maxi 250g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-riba/Panirani-riblji-proizvodi/Smr-rib-pljes-Premia-Maxi-250g/p/7181343,RSD,,250 gr,https://static.maxi.rs/medias/sys_master/products/h19/h3b/9188798922782.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,679.96 rsd/Kg,16999,True,,False,e70e6c44ba3b475c29e6d7563f40de6d,7181343,,,Smrznuti proizvodi
